episode_number,date_episode_published,data_set,year_elligible_for_best_of,duration_in_minutes,episode_type,episode_title,guests_and_characters_from_wikipedia_semicolon_delimited,synopsis_and_segments,fandom_wikia_suffix,best_of_rank,weight_flat,weight_inverse,weight_linear,is_on_best_of_boolean
214,2013-04-18,training,2013,72,regular,You Have To Take Action,Jen Kirkman;Pamela Murphy as Karen Porter,Would You Rather,https://comedybangbang.fandom.com/wiki/You_Have_to_Take_Action,,1.0,0.100,0.346,FALSE
215,2013-04-22,training,2013,82,regular,Time Bobby 2,Bobby Moynihan as Fourvel and Fryvault;Paul F. Tompkins as Lord Andrew Lloyd Webber,,https://comedybangbang.fandom.com/wiki/Time_Bobby_2,1,1.0,0.100,0.346,TRUE
216,2013-04-29,training,2013,71,regular,Top of the Schaal To You!,Kristen Schaal;Neil Campbell as Buford Dorsey;Michaela Watkins as Dr. Sherri Levine,Would You Rather,https://comedybangbang.fandom.com/wiki/Top_of_the_Schaal_to_You!,,1.0,0.100,0.346,FALSE
217,2013-05-02,training,2013,65,regular,The WTF Hour,Marc Maron,Would You Rather,,,1.0,0.100,0.346,FALSE
218,2013-05-06,training,2013,94,anniversary,The 4th Anniversary Extravaganza!,David Wain;Lauren Lapkus as Traci Reardon;Jessica St. Clair as Marissa Wompler;Paul F. Tompkins as Mike the Janitor;Jason Mantzoukas;Paul Rust as Benny Bachelor;Neil Campbell as Barrett Bachelor,,https://comedybangbang.fandom.com/wiki/The_4th_Anniversary_Extravaganza!,9,1.0,0.100,0.346,TRUE
219,2013-05-13,training,2013,76,regular,Farts and Procreation 3,"Adam Scott as himself, Bus Guy #1, Jason Vorges, Edwin and Window Loving Dog #1;Harris Wittels as himself, Bus Guy #2, Clark Griswald, Vince and Window Loving Dog #2;Chelsea Peretti as herself, Coslita, Cheri Oteri and Cheri Oteri",,https://comedybangbang.fandom.com/wiki/Farts_and_Procreation_3,5,1.0,0.100,0.346,TRUE
220,2013-05-20,training,2013,74,regular,4 PayDays & A Baby,Lennon Parham as Miss Listler;Jessica St. Clair as Marissa Wompler,,,,1.0,0.100,0.346,FALSE
221,2013-05-28,training,2013,86,regular,The Cake Council,Andy Richter;Paul F. Tompkins as Cake Boss,Would You Rather,,,1.0,0.100,0.346,FALSE
222,2013-06-03,training,2013,81,regular,A Peanut In The Rain,Paul F. Tompkins as Garry Marshall;Gillian Jacobs;Mike Hanford as Ducky Powell,,https://comedybangbang.fandom.com/wiki/A_Peanut_in_the_Rain,12,1.0,0.100,0.346,TRUE
223,2013-06-10,training,2013,73,regular,"Roll Over, Seth Rogen",Seth Rogen,Fart-Marry-Kiss;What Am I Thinking;Would You Rather,"https://comedybangbang.fandom.com/wiki/Roll_Over,_Seth_Rogen",,1.0,0.100,0.346,FALSE
224,2013-06-13,training,2013,62,live,Live from Austin,Paul Scheer as Bill Diesel;Martin Starr;Brandon Johnson;Neil Campbell as Rick Faber,Freestyle Rap Battle;Would You Rather,https://comedybangbang.fandom.com/wiki/Live_from_Austin,,1.0,0.100,0.346,FALSE
225,2013-06-17,training,2013,90,regular,Super Chums,Taran Killam as himself and Mark Johnson Sr.;Paul Brittain as himself and Lon Smudge,,,,1.0,0.100,0.346,FALSE
226,2013-06-24,training,2013,77,regular,¡Aspira!,Paul Feig;Horatio Sanz as Victor Ramos,Would You Rather,https://comedybangbang.fandom.com/wiki/%C2%A1Aspira!,,1.0,0.100,0.346,FALSE
227,2013-06-27,training,2013,60,regular,All Farted Out,Brian Posehn;Jon Daly as Mall McCartney,,https://comedybangbang.fandom.com/wiki/All_Farted_Out,,1.0,0.100,0.346,FALSE
228,2013-07-01,training,2013,92,regular,Acapella Cuddle Puddle,John Hodgman;Paul F. Tompkins as Ice-T and Garry Marshall,,https://comedybangbang.fandom.com/wiki/Acapella_Cuddle_Puddle,,1.0,0.100,0.346,FALSE
229,2013-07-08,training,2013,76,regular,Two Thumbs & Not Much Else,Ben Schwartz;Paul F. Tompkins as Werner Herzog,,https://comedybangbang.fandom.com/wiki/Two_Thumbs_%26_Not_Much_Else,8,1.0,0.100,0.346,TRUE
230,2013-07-11,training,2013,62,regular,Something for Everything,Reggie Watts;Neil Campbell,Freestyle Rap Battle;Would You Rather,https://comedybangbang.fandom.com/wiki/Something_for_Everything,,1.0,0.100,0.346,FALSE
231,2013-07-15,training,2013,67,regular,"This Is Not Me, This Is Them",Kumail Nanjiani;James Adomian as Paul Giamatti & Jesse Ventura,,"https://comedybangbang.fandom.com/wiki/This_Is_Not_Me,_This_Is_Them",,1.0,0.100,0.346,FALSE
232,2013-07-18,training,2013,68,live,LIVE from San Diego Comic-Con,Andy Daly as Hot Dog;Paul Rust,Would You Rather,https://comedybangbang.fandom.com/wiki/LIVE_from_San_Diego_Comic-Con,,1.0,0.100,0.346,FALSE
233,2013-07-22,training,2013,71,regular,Royal Watching,Bob Odenkirk;Andy Daly as Byron Denniston;David Cross,,https://comedybangbang.fandom.com/wiki/Royal_Watching,,1.0,0.100,0.346,FALSE
234,2013-07-25,training,2013,66,regular,Changing the Bandage,Bill Hader;Seth Morris as Bob Ducca,Would You Rather,https://comedybangbang.fandom.com/wiki/Changing_the_Bandage,,1.0,0.100,0.346,FALSE
235,2013-07-29,training,2013,72,regular,Concert Buddies,Doug Benson;Paul F. Tompkins as Lord Andrew Lloyd Webber,Would You Rather,https://comedybangbang.fandom.com/wiki/Concert_Buddies,,1.0,0.100,0.346,FALSE
236,2013-08-05,training,2013,76,regular,Murderer Heaven,Rob Corddry;Paul F. Tompkins as The Ghost of Richard Harrow,Would You Rather,https://comedybangbang.fandom.com/wiki/Murderer_Heaven,7,1.0,0.100,0.346,TRUE
237,2013-08-08,training,2013,58,regular,Filipino Blockbuster,Jonah Ray;Nick Thune;Eugene Cordero as Tito Ben,Would You Rather,https://comedybangbang.fandom.com/wiki/Filipino_Blockbuster,,1.0,0.100,0.346,FALSE
238,2013-08-12,training,2013,75,special,Marissa Womplers Birthday Pool Party LIVE,Jessica St. Clair as Marissa Wompler;Lennon Parham as Miss Listler and Kimmy;Jason Mantzoukas as Eric “Gutterballs” Gutterman and Kareem;Brian Huskey as Dr. Seth Wompler;Melissa Rauch as Danielle Bartiromo and Katie Wong,,https://comedybangbang.fandom.com/wiki/Marissa_Wompler%27s_Birthday_Pool_Party_Live,2,1.0,0.100,0.346,TRUE
239,2013-08-19,training,2013,61,regular,New Dad,Jay Mohr;Matt Besser as New Dad,Would You Rather,https://comedybangbang.fandom.com/wiki/New_Dad,,1.0,0.100,0.346,FALSE
240,2013-08-23,training,2013,65,regular,#TheWorldsEnd,"Edgar Wright;Simon Pegg as himself, Michael Caine, and Sean Connery;Nick Frost as himself, Sean Connery, and Michael Caine",Would You Rather,https://comedybangbang.fandom.com/wiki/TheWorldsEnd,,1.0,0.100,0.346,FALSE
241,2013-08-26,training,2013,71,regular,The Stallone Bros.,Paul Scheer as himself and Frank Stallone;Nick Kroll as himself and Sylvester Stallone,,https://comedybangbang.fandom.com/wiki/The_Stallone_Bros.,11,1.0,0.100,0.346,TRUE
242,2013-09-02,training,2013,70,regular,Veggie Dongs,Thomas Lennon as himself and Little Gary;Rob Huebel;Neko Case,Would You Rather,https://comedybangbang.fandom.com/wiki/Veggie_Dongs,,1.0,0.100,0.346,FALSE
243,2013-09-09,training,2013,72,regular,Blow Me Up Tom!,"Maria Bamford;James Adomian as Tom Leykis, Merrill Shindler, and Jesse Ventura",,https://comedybangbang.fandom.com/wiki/Blow_Me_Up_Tom!,10,1.0,0.100,0.346,TRUE
244,2013-09-16,training,2013,83,regular,An Ode to New York!,Andy Samberg;Eddie Pepitone as Eddie Floatley,Would You Rather,https://comedybangbang.fandom.com/wiki/An_Ode_to_New_York!,,1.0,0.100,0.346,FALSE
245,2013-09-23,training,2013,86,regular,Poehler Ice Caps,Amy Poehler;Neil Campbell;Paul F. Tompkins as Alan Thicke,Freestyle Rap Battle,https://comedybangbang.fandom.com/wiki/Poehler_Ice_Caps,4,1.0,0.100,0.346,TRUE
246,2013-09-30,training,2013,77,regular,Butthole Baby,Casey Wilson as herself and Janelle Johnson;June Diane Raphael as herself and Jolene Johnson,Would You Rather,https://comedybangbang.fandom.com/wiki/Butthole_Baby,,1.0,0.100,0.346,FALSE
247,2013-10-07,training,2013,76,regular,Half a Score,Tim Meadows;Horatio Sanz as Chico Davis,,https://comedybangbang.fandom.com/wiki/Half_a_Score,,1.0,0.100,0.346,FALSE
248,2013-10-10,training,2013,63,regular,Todds Life 2.0,Eric André;Lauren Lapkus as Todd,,https://comedybangbang.fandom.com/wiki/Todd%27s_Life_2.0,,1.0,0.100,0.346,FALSE
249,2013-10-14,training,2013,76,regular,Ice Cold STaB,Bob Odenkirk;The Birthday Boys as themselves and Coke/Pepsi/Tab secret formula holders,Would You Rather,https://comedybangbang.fandom.com/wiki/Ice_Cold_STaB,,1.0,0.100,0.346,FALSE
250,2013-10-21,training,2013,87,regular,Podcast Silence,Pete Holmes;Jon Gabrus as Gino Lombardo;Pamela Murphy as Lisa Bartin,,https://comedybangbang.fandom.com/wiki/Podcast_Silence,,1.0,0.100,0.346,FALSE
251,2013-10-24,training,2013,82,regular,The Bed Spoiler,Amber Tamblyn;Todd Glass,Would You Rather,https://comedybangbang.fandom.com/wiki/The_Bed_Spoiler,,1.0,0.100,0.346,FALSE
252,2013-10-28,training,2013,83,holiday,The Creeeeeeepy Halloween Special,Steven Yeun;Paul Rust as Dr. Traygo;Molly Bretthauer as Dykula;Nick Wiger as Leo Carpazzi;Eva Anderson and Caroline Anderson as The Hauntettes,,https://comedybangbang.fandom.com/wiki/The_Creeeeeeepy_Halloween_Special,,1.0,0.100,0.346,FALSE
253,2013-11-04,training,2013,83,regular,Fieri Fight,Tim Heidecker;Jon Daly as himself and Bill Cosby-Bukowski,Tic-Tac-Toe; Would You Rather,https://comedybangbang.fandom.com/wiki/Fieri_Fight,,1.0,0.100,0.346,FALSE
254,2013-11-07,training,2013,67,live,LIVE from Comedy Gives Back,Zach Galifianakis;David Wain;Andy Daly as Jack Fitzgerald,Would You Rather,https://comedybangbang.fandom.com/wiki/LIVE_from_Comedy_Gives_Back,,1.0,0.100,0.346,FALSE
255,2013-11-11,training,2013,72,regular,A Visit from Hee Hee-ll,Rob Delaney;Mookie Blaiklock as Michael Jackson,Would You Rather,https://comedybangbang.fandom.com/wiki/A_Visit_from_Hee_Hee-ll,,1.0,0.100,0.346,FALSE
256,2013-11-18,training,2013,79,regular,Raw Copera,Brendon Small;Cameron Esposito;James Adomian as Jesse Ventura,,https://comedybangbang.fandom.com/wiki/Raw_Copera,,1.0,0.100,0.346,FALSE
257,2013-11-21,training,2013,84,regular,Nuts As A Pile Of Nuts,Will Forte as himself and Texter;Paul F. Tompkins as The Ghost of Richard Harrow,,https://comedybangbang.fandom.com/wiki/Nuts_as_a_Pile_of_Nuts,,1.0,0.100,0.346,FALSE
258,2013-11-25,training,2013,93,regular,Yoke Jams,Jimmy Pardo;Bill Callahan;Seth Morris as Bob Ducca,,https://comedybangbang.fandom.com/wiki/Yoke_Jams,,1.0,0.100,0.346,FALSE
259,2013-12-02,training,2014,95,regular,Charlottes Website,David Alan Grier;Lauren Lapkus as Regina Crimp;Joe Wengert as Mr. G,Would You Rather,https://comedybangbang.fandom.com/wiki/Charlotte%27s_Website,,1.0,0.111,0.415,FALSE
260,2013-12-05,training,2014,85,regular,Tiny Cheeseburger Story,Mike Birbiglia;Brendon Small as Victor Diamond and Tiny;Jon Gabrus as Gino Lombardo,,https://comedybangbang.fandom.com/wiki/Tiny_Cheeseburger_Story,,1.0,0.111,0.415,FALSE
261,2013-12-09,training,2014,87,regular,Nubile Agape,Kulap Vilaysack;Shelby Fero;Horatio Sanz as Aaron Neville,Would You Rather,https://comedybangbang.fandom.com/wiki/Nubile_Agape,,1.0,0.111,0.415,FALSE
262,2013-12-16,training,2014,144,holiday,2013 Holiday Spectacular,Nick Lowe;Jason Mantzoukas;Andy Daly as Dalton Wilcox;Paul F. Tompkins as Alan Thicke;James Adomian as Merrill Shindler;Jon Daly as Bill Cosby-Bukowski;Neil Campbell as Barrett Bachelor;Paul Rust as Benny Bachelor;Paul Scheer as Frank Stallone,,https://comedybangbang.fandom.com/wiki/2013_Holiday_Spectacular,,1.0,0.111,0.415,FALSE
263,2014-01-06,training,2014,84,regular,Hollywild,Ben Schwartz;Horatio Sanz as Coco Marx,Would You Rather;Riddle Me This,https://comedybangbang.fandom.com/wiki/Hollywild,9,1.0,0.111,0.415,TRUE
264,2014-01-13,training,2014,81,regular,Creating A Krolliverse,"Nick Kroll as himself, Liz, C-Czar, Sylvester Stallone, and El Chupacabra;Jenny Slate as herself and Pretty Liz",,https://comedybangbang.fandom.com/wiki/Creating_a_Krolliverse,,1.0,0.111,0.415,FALSE
265,2014-01-16,training,2014,95,live,LIVE from RIOT LA,Paul F. Tompkins as JW Stillwater;Lauren Lapkus as Traci Reardon;Harris Wittels,Harris Foam Corner; Would You Rather,https://comedybangbang.fandom.com/wiki/LIVE_from_RIOT_LA,13,1.0,0.111,0.415,TRUE
266,2014-01-20,training,2014,72,regular,The Calvins Twins,Taran Killam as himself and Smith Bever Hopox Calvins;Paul Brittain as himself and Jones Chico Hands Calvins,,https://comedybangbang.fandom.com/wiki/The_Calvins_Twins,12,1.0,0.111,0.415,TRUE
267,2014-01-27,training,2014,77,regular,That Wasnt It,Jerrod Carmichael;Neil Campbell;Mookie Blaiklock as Michael Jackson,Would You Rather,https://comedybangbang.fandom.com/wiki/That_Wasn%27t_It_(I%27m_Back)_(Hee_Hee),,1.0,0.111,0.415,FALSE
268,2014-01-30,training,2014,93,regular,What Does the Fonz Say?,Jimmy Pardo;Betsy Sodaro as Voda Gaipsy the Romanian Gypsy,Riddle Me This; Would You Rather,https://comedybangbang.fandom.com/wiki/What_Does_the_Fonz_Say%3F,,1.0,0.111,0.415,FALSE
269,2014-02-03,training,2014,81,regular,Smaugs Kickstarter,Doug Benson;Paul Hornschemeier;Matt Besser as Smaug,Would You Rather,https://comedybangbang.fandom.com/wiki/Smaug%27s_Kickstarter,,1.0,0.111,0.415,FALSE
270,2014-02-10,training,2014,90,regular,Off The Grid,Jon Daly;James Adomian as Jesse Ventura,,https://comedybangbang.fandom.com/wiki/Off_the_Grid,,1.0,0.111,0.415,FALSE
271,2014-02-13,training,2014,70,regular,Tiny Little Boy Parts,Nick Thune;Molly Bretthauer as Meredith Coldwell,Would You Rather,https://comedybangbang.fandom.com/wiki/Tiny_Little_Boy_Parts,,1.0,0.111,0.415,FALSE
272,2014-02-17,training,2014,99,regular,Sex Party Season,Gillian Jacobs;Paul F. Tompkins as Garry Marshall and Len Wiseman,,https://comedybangbang.fandom.com/wiki/Sex_Party_Season,10,1.0,0.111,0.415,TRUE
273,2014-02-24,training,2014,77,regular,Vape Cod,Jim OHeir;Horatio Sanz as Shelly Driftwood,,https://comedybangbang.fandom.com/wiki/Vape_Cod,,1.0,0.111,0.415,FALSE
274,2014-03-03,training,2014,70,regular,"Oh, Golly!",Jason Mantzoukas;Andy Daly as Gil & Golly and Dalton Wilcox,,"https://comedybangbang.fandom.com/wiki/Oh,_Golly!",2,1.0,0.111,0.415,TRUE
275,2014-03-10,training,2014,91,live,LIVE from SXSW 2014,Jonah Ray;Adam Cayton-Holland;James Adomian as The Sheriff of Nottingham,Would You Rather,https://comedybangbang.fandom.com/wiki/LIVE_from_SXSW_2014,,1.0,0.111,0.415,FALSE
276,2014-03-14,training,2014,87,live,LIVE from SXSW 2014 II,Matt Braunger;Matt Besser as Hooch the Mooch;Jon Gabrus as Gino Lombardo,Would You Rather,https://comedybangbang.fandom.com/wiki/LIVE_from_SXSW_2014_II,,1.0,0.111,0.415,FALSE
277,2014-03-17,training,2014,81,regular,Comedy Bang Me!,Chelsea Peretti;Paul Rust as Benny Bachelor;Neil Campbell as Barrett Bachelor,Would You Rather,https://comedybangbang.fandom.com/wiki/Comedy_Bang_Me!,,1.0,0.111,0.415,FALSE
278,2014-03-24,training,2014,109,regular,Only Tones,Old 97s;Matt Berninger;James Adomian as George Zimmer and Russell Crowe,Would You Rather,https://comedybangbang.fandom.com/wiki/Only_Tones,,1.0,0.111,0.415,FALSE
279,2014-03-31,training,2014,77,regular,Reverse April Fools,Patton Oswalt;Lauren Lapkus as Traci Reardon;Will Hines as Qthor,,https://comedybangbang.fandom.com/wiki/Reverse_April_Fools,,1.0,0.111,0.415,FALSE
280,2014-04-07,training,2014,76,regular,DuALity,Weird Al Yankovic;Paul F. Tompkins as Alan Thicke,Riddle Me This,https://comedybangbang.fandom.com/wiki/DuALity,,1.0,0.111,0.415,FALSE
281,2014-04-14,training,2014,95,regular,Bro Boarders,Matt Walsh as himself and XJR&;Timothy Simons,Name A Bread; Would You Rather,https://comedybangbang.fandom.com/wiki/Bro_Boarders,,1.0,0.111,0.415,FALSE
282,2014-04-21,training,2014,70,regular,Wompsters University,Jessica St. Clair as Marissa Wompler;Lennon Parham as Miss Listler,,https://comedybangbang.fandom.com/wiki/Wompster%27s_University,,1.0,0.111,0.415,FALSE
283,2014-04-28,training,2014,116,anniversary,The 5th Anniversary Show!,Jessica St. Clair as Marissa Wompler;Lennon Parham as Miss Listler;Jason Mantzoukas;Lauren Lapkus as Traci Reardon;Matt Besser as Mattilda Besserina Ay Der Bong Boy Retired Pope Smith;Paul F. Tompkins as Mike the Janitor and JW Stillwater;Paul Rust as Benny Bachelor;Neil Campbell as Barrett Bachelor,,https://comedybangbang.fandom.com/wiki/The_5th_Anniversary_Show!,8,1.0,0.111,0.415,TRUE
284,2014-05-05,training,2014,75,regular,A Thrilling CBB Adventure Hour,Marc Evan Jackson;Mark Gagliardi as Croach the Tracker;Paul F. Tompkins as K of the Cosmos and himself,Riddle Me This,https://comedybangbang.fandom.com/wiki/A_Thrilling_CBB_Adventure_Hour,,1.0,0.111,0.415,FALSE
285,2014-05-08,training,2014,81,regular,Solo Bolo,Ben Schwartz,,https://comedybangbang.fandom.com/wiki/Solo_Bolo,6,1.0,0.111,0.415,TRUE
286,2014-05-12,training,2014,103,regular,Time Bobby 3,Bobby Moynihan as Fourvel and Fryvault;Paul F. Tompkins as Lord Andrew Lloyd Webber and Werner Herzog,,https://comedybangbang.fandom.com/wiki/Time_Bobby_3,4,1.0,0.111,0.415,TRUE
287,2014-05-19,training,2014,75,regular,Stinky Chips,Shane Torres;Lauren Lapkus as Mizz Chips,,https://comedybangbang.fandom.com/wiki/Stinky_Chips,,1.0,0.111,0.415,FALSE
288,2014-05-22,training,2014,92,regular,"Back to Barz, Back to Reality",The Sklar Brothers;Horatio Sanz as Barzelona Marriott,Would You Rather,"https://comedybangbang.fandom.com/wiki/Back_to_Barz,_Back_to_Reality",,1.0,0.111,0.415,FALSE
289,2014-05-26,training,2014,94,regular,The Exorcism of Cake Boss,Paul F. Tompkins as Cake Boss and Reverend Robert Parcimonie;Matt Gourley as H. R. Giger,Riddle Me This,https://comedybangbang.fandom.com/wiki/The_Exorcism_of_Cake_Boss,3,1.0,0.111,0.415,TRUE
290,2014-06-02,training,2014,106,regular,Shed Busting,"Todd Glass;James Adomian as himself, George W. Bush, Jesse Ventura, Merrill Shindler, and Paul Giamatti",,https://comedybangbang.fandom.com/wiki/Shed_Busting,,1.0,0.111,0.415,FALSE
291,2014-06-05,training,2014,98,regular,Summer Haunted House,Bob Odenkirk as himself and Thor Silverblatt;Adam Resnick;Neil Casey as Earl Bixby;Fran Gillespie as Pammy Bixby,,https://comedybangbang.fandom.com/wiki/Summer_Haunted_House,,1.0,0.111,0.415,FALSE
292,2014-06-09,training,2014,85,regular,DJs Are Sleaze Js,Jenny Slate;Merrill Garbus;Jon Daly as himself and Sappity Tappity,Would You Rather,https://comedybangbang.fandom.com/wiki/DJs_Are_Sleaze_Js,,1.0,0.111,0.415,FALSE
293,2014-06-12,training,2014,85,regular,Monster Muscles,Phil Lord;Chris Miller;Jon Gabrus as Gino Lombardo;Eugene Cordero as R.J. Rise,Riddle Me This,https://comedybangbang.fandom.com/wiki/Monster_Muscles,,1.0,0.111,0.415,FALSE
294,2014-06-16,training,2014,106,regular,Honk Shoo,Ian Edwards;Brendon Small as Bernie Fretts;Jessica St. Clair as Marissa Wompler,,https://comedybangbang.fandom.com/wiki/Honk_Shoo,,1.0,0.111,0.415,FALSE
295,2014-06-19,training,2014,92,regular,I Turned It On For The Dog Penis,Alex Anfanger;Dan Schimp;Lauren Lapkus as Traci Reardon,Riddle Me This,https://comedybangbang.fandom.com/wiki/I_Turned_It_on_for_the_Dog_Penis,,1.0,0.111,0.415,FALSE
296,2014-06-23,training,2014,76,regular,Taking The Bladder Out,David Wain as himself and Phineas T. Johnson;Michael Showalter;Neil Campbell as Percy Perryweather,,https://comedybangbang.fandom.com/wiki/Taking_the_Bladder_Out,,1.0,0.111,0.415,FALSE
297,2014-06-30,training,2014,94,regular,Canadian Apparel,Nathan Fielder;Joe Wengert as Brad Hammerstone;James Adomian as Dov Charney,,https://comedybangbang.fandom.com/wiki/Canadian_Apparel,,1.0,0.111,0.415,FALSE
298,2014-07-07,training,2014,74,regular,The Hotwives of Orlando,Paul Scheer;Danielle Schneider as Shauna Maducci;Tymberlee Hill as Phe Phe Reed;Andrea Savage as Veronica Von Vandervon;Dannah Phirman as Alli,Would You Rather,https://comedybangbang.fandom.com/wiki/The_Hotwives_of_Orlando,,1.0,0.111,0.415,FALSE
299,2014-07-15,training,2014,84,regular,Dont Hack the SAC,Weird Al Yankovic;Claudia ODoherty,,https://comedybangbang.fandom.com/wiki/Don%27t_Hack_the_SAC,,1.0,0.111,0.415,FALSE
300,2014-07-21,training,2014,129,regular,"Oh, Golly! You Devil","Jason Mantzoukas;Andy Daly as Golly, Dalton Wilcox, Danny Mahoney, Ben Alterman, August Lindt, Bill Carter, Patrick McMahon, Hot Dog, Clive Dundee, Andi Callahan, Chip Gardner, Cactus Tony, Byron Denniston, and Don Dimello",,"https://comedybangbang.fandom.com/wiki/Oh,_Golly!_You_Devil",1,1.0,0.111,0.415,TRUE
301,2014-07-28,training,2014,84,regular,Theyre Twins Jonah,Jonah Ray;Kumail Nanjiani;Brendon Small as Victor Diamond and Tiny,Riddle Me This,https://comedybangbang.fandom.com/wiki/They%27re_Twins_Jonah!,14,1.0,0.111,0.415,TRUE
302,2014-07-31,training,2014,97,regular,Milkshake Movies,Mary Lynn Rajskub;Twin Shadow;Eddie Pepitone as Howard Amethyst,,https://comedybangbang.fandom.com/wiki/Milkshake_Movies,,1.0,0.111,0.415,FALSE
303,2014-08-04,training,2014,95,regular,Puttering Around,"Paul F. Tompkins as himself, Andrew Lloyd Webber, and Cake Boss;Loudon Wainwright III",,https://comedybangbang.fandom.com/wiki/Puttering_Around,,1.0,0.111,0.415,FALSE
304,2014-08-11,training,2014,86,special,Marissa Womplers Six Flags Birthday Womptacular,"Jessica St. Clair as Marissa Wompler;Lennon Parham as Miss Listler, Kimmy, and Philippe;Jason Mantzoukas as Eric “Gutterballs” Gutterman and Kareem;Brian Huskey as Dr. Seth Wompler;Melissa Rauch as Danielle Bartiromo and Katie Wong;Lauren Lapkus as Traci Reardon and Liz;Andy Daly as Don Dimello",NOTE also featuring Scott Aukerman as Dabney and Andy Dalys daughter as Birthday Girl,https://comedybangbang.fandom.com/wiki/Marissa_Wompler%E2%80%99s_Six_Flags_Birthday_Womptacular,5,1.0,0.111,0.415,TRUE
305,2014-08-18,training,2014,90,regular,CattleLickItUp,Kulap Vilaysack;Howard Kremer;Jon Gabrus as Gino Lombardo,Would You Rather,https://comedybangbang.fandom.com/wiki/CattleLickItUp,,1.0,0.111,0.415,FALSE
306,2014-08-21,training,2014,73,regular,Project Funway,Dont Stop Or Well Die;Paul Rust;Harris Wittels;Michael Cassady,Harris Foam Corner; New No-Nos; Riddle Me This,https://comedybangbang.fandom.com/wiki/Project_Funway,,1.0,0.111,0.415,FALSE
307,2014-08-25,training,2014,92,regular,Ruths Ross Dress For Loss,Jack Black;Kyle Gass;Lauren Lapkus as Regina Crimp;Joe Wengert as Russ,The Guessing Game,https://comedybangbang.fandom.com/wiki/Ruth%27s_Ross_Dress_for_Loss,,1.0,0.111,0.415,FALSE
308,2014-09-01,training,2014,74,regular,Superego,Matt Gourley as himself and H. R. Giger;Mark McConville as himself and Trevor;Jeremy Carter as himself and Bryson Tyson;Paul F. Tompkins as himself and Reverend Robert Parcimonie,,"https://comedybangbang.fandom.com/wiki/Superego:_Loose_Beginnings,_Tight_Ends",,1.0,0.111,0.415,FALSE
309,2014-09-08,training,2014,84,regular,Tony Macaroni,Nick Kroll as himself and R. Schrift;Jimmy Pardo;Claudia ODoherty,,https://comedybangbang.fandom.com/wiki/Tony_Macaroni,11,1.0,0.111,0.415,TRUE
310,2014-09-15,training,2014,87,regular,Little Button Puss,Kevin Allison;Pamela Murphy as Bridgette Murphy;John Gemberling as HP-DP-69B,Riddle Me This,https://comedybangbang.fandom.com/wiki/Little_Button_Puss,15,1.0,0.111,0.415,TRUE
311,2014-09-18,training,2014,79,regular,Dennys Boys,Joe Lo Truglio;Beth Dover as Saman Thughgh,Would You Rather,https://comedybangbang.fandom.com/wiki/Denny%27s_Boys,,1.0,0.111,0.415,FALSE
312,2014-09-22,training,2014,86,regular,Grounded Me@,Andy Samberg;Lauren Lapkus as Todd,What Am I Thinking;Would You Rather,https://comedybangbang.fandom.com/wiki/Grounded_Me@,7,1.0,0.111,0.415,TRUE
313,2014-09-29,training,2014,90,regular,Gumbo Challenge,Ben Schwartz;Paul Banks;Horatio Sanz as Dante and Aaron Neville,Would You Rather,https://comedybangbang.fandom.com/wiki/Gumbo_Challenge,,1.0,0.111,0.415,FALSE
314,2014-10-06,training,2014,89,regular,Y’all Heard Any of These Names Before?,Cameron Esposito;Paul F. Tompkins as JW Stillwater,Y’all Heard Any of These Names Before,https://comedybangbang.fandom.com/wiki/Y%27all_Heard_Any_of_These_Names_Before%3F,,1.0,0.111,0.415,FALSE
315,2014-10-13,training,2014,84,regular,Sandwich Therapy,Ken Marino;Casey Wilson;Joe Wengert as Dr. Jerry Pensacola,Riddle Me This,https://comedybangbang.fandom.com/wiki/Sandwich_Therapy,,1.0,0.111,0.415,FALSE
316,2014-10-16,training,2014,83,regular,In the Larp Run,Dane Cook;Reggie Watts;Neil Campbell as Rick Faber,Would You Rather,https://comedybangbang.fandom.com/wiki/In_the_Larp_Run,,1.0,0.111,0.415,FALSE
317,2014-10-20,training,2014,87,regular,Tash.2,Natasha Lyonne;Paul F. Tompkins;Mary Holland as Dreama Peaches,,https://comedybangbang.fandom.com/wiki/Tash.2,,1.0,0.111,0.415,FALSE
318,2014-10-27,training,2014,82,regular,Lumber Hack,Wyatt Cenac;Matt Besser as Paul Funyuns;Jocelyn DeBoer as Bitsy Boo-Carmichael,,https://comedybangbang.fandom.com/wiki/Lumber_Hack,,1.0,0.111,0.415,FALSE
319,2014-10-30,training,2014,85,holiday,Return to Suicide House Part Gore,Brett Gelman as Messmore le Barron;Jon Daly as Beuford le Barron;Allan McLeod as Ghost Boy;Nick Wiger as Leo Carpazzi;Caroline Anderson as Scaroline,Freestyle Rap Battle,https://comedybangbang.fandom.com/wiki/Return_to_Suicide_House_Part_Gore,,1.0,0.111,0.415,FALSE
320,2014-11-03,training,2014,101,regular,Charging Kids,Alex Borstein;Brendon Small as Victor Diamond and Tiny;Molly Bretthauer as Miss D.,,https://comedybangbang.fandom.com/wiki/Charging_Kids,,1.0,0.111,0.415,FALSE
321,2014-11-10,training,2014,86,regular,Big Fat Voice,Ana Gasteyer;Jon Gabrus as Gino Lombardo;Mookie Blaiklock as Officer Jay Gutwill,Riddle Me This,https://comedybangbang.fandom.com/wiki/Big_Fat_Voice,,1.0,0.111,0.415,FALSE
